,Ticker,Sector,Industry,Market Cap,Company Name
473,UBL,Fast Moving Consumer Goods,Beverages,394.0,United Breweries Limited
474,VGUARD,Consumer Discretionary,Consumer Durables,114.91,V-Guard Industries Limited
475,VMART,Consumer Discretionary,Retailing,41.5,V-Mart Retail Limited
476,MCDOWELL-N,Fast Moving Consumer Goods,Beverages,659.42,United Spirits Limited
477,VIPIND,Consumer Discretionary,Consumer Durables,87.32,VIP Industries Limited
478,VTL,Consumer Discretionary,Textiles & Apparels,102.42,Vardhman Textiles Limited
479,VAIBHAVGBL,Consumer Discretionary,Consumer Durables,50.71,Vaibhav Global Limited
480,VBL,Fast Moving Consumer Goods,Beverages,995.25,Varun Beverages Limited
481,VARROC,Consumer Discretionary,Auto Components,49.74,Varroc Engineering Limited
482,MANYAVAR,Consumer Discretionary,Retailing,315.76,Vedant Fashions Limited
483,VIJAYA,Healthcare,Healthcare Services,48.21,Vijaya Diagnostic Centre Limited
484,VINATIORGA,Commodities,Chemicals & Petrochemicals,187.3,Vinati Organics Limited
485,VEDL,Commodities,Diversified Metals,1026.69,Vedanta Limited
486,IDEA,Telecommunication,Telecom - Services,362.66,Vodafone Idea Limited
487,VOLTAS,Consumer Discretionary,Consumer Durables,248.33,Voltas Limited
488,WELCORP,Industrials,Industrial Products,68.55,Welspun Corp Limited
489,WELSPUNIND,Consumer Discretionary,Textiles & Apparels,89.36,Welspun India Limited
490,WESTLIFE,Consumer Discretionary,Leisure Services,131.49,WESTLIFE FOODWORLD LIMITED
491,WHIRLPOOL,Consumer Discretionary,Consumer Durables,184.17,Whirlpool of India Limited
492,YESBANK,Financial Services,Banks,460.09,Yes Bank Limited
493,ZFCVINDIA,Consumer Discretionary,Auto Components,232.7,ZF Commercial Vehicle Control Systems India Limited
494,WIPRO,Information Technology,IT - Software,2085.49,Wipro Limited
495,ZEEL,Consumer Discretionary,Entertainment,169.68,Zee Entertainment Enterprises Limited
496,ZENSARTECH,Information Technology,IT - Software,87.19,Zensar Technologies Limited
497,ZOMATO,Consumer Discretionary,Retailing,636.15,Zomato Limited
498,ZYDUSLIFE,Healthcare,Pharmaceuticals & Biotechnology,563.9,Zydus Lifesciences Limited
499,ZYDUSWELL,Fast Moving Consumer Goods,Food Products,94.05,Zydus Wellness Limited
500,ECLERX,Services,Commercial Services & Supplies,83.05,eClerx Services Limited
