,Symbol,Negative,Neutral,Positive,Sentiment Score,MCap (Billion),Company Name,Sector,Industry
216,KPRMILL,0.0,1.0,0.0,0.0,176.56,K.P.R. Mill Limited,XC - CODI,XC - TXT
217,KRBL,0.0,1.0,0.0,0.0,93.3,KRBL Limited,XC - COST,XC - FOP
218,LALPATHLAB,0.0,1.0,0.0,0.0,176.82,Dr. Lal Path Labs Ltd.,XC - HECA,XC - HCS
219,LATENTVIEW,0.0,1.0,0.0,0.0,76.49,Latent View Analytics Limited,XC - INTH,XC - INT
220,LAURUSLABS,0.0,1.0,0.0,0.0,186.48,Laurus Labs Limited,XC - HECA,XC - PHR
221,LEMONTREE,0.0,1.0,0.0,0.0,58.43,Lemon Tree Hotels Limited,XC - CODI,XC - HSP
222,LICHSGFIN,0.156,0.68,0.164,0.046,217.03,LIC Housing Finance Limited,XC - FNCL,XC - NFC
223,LICI,0.0,1.0,0.0,0.0,4440.78,Life Insurance Corporation Of India,XC - FNCL,XC - NFC
224,LINDEINDIA,0.0,1.0,0.0,0.0,288.59,Linde India Limited,XC - MTRL,XC - CHM
225,LINDEINDIA,0.0,1.0,0.0,0.0,288.59,Linde India Limited,XC - ENRG,XC - ODE
226,LODHA,0.0,0.951,0.049,0.088,519.2,Macrotech Developers Limited,XC - RLES,XC - REM
227,LT,0.034,0.868,0.098,0.094,3102.34,Larsen & Toubro Limited,XC - INDS,XC - CAG
228,LTIM,0.0,1.0,0.0,0.0,1333.89,LTIMindtree Limited,XC - INTH,XC - ITS
229,LTTS,0.0,0.927,0.073,0.14,361.76,L&T Technology Services Limited,XC - INTH,XC - ITS
230,LUPIN,0.046,0.851,0.103,0.088,342.09,Lupin Limited,XC - HECA,XC - PHR
231,LXCHEM,0.0,1.0,0.0,0.0,76.85,Laxmi Organic Industries Limited,XC - MTRL,XC - CHM
232,MAHABANK,0.0,0.925,0.075,0.135,199.56,Bank of Maharashtra,XC - FNCL,XC - PSU
233,MAHINDCIE,0.2,0.609,0.191,-0.026,132.21,Mahindra CIE Automotive Limited,XC - INDS,XC - CAG
234,MAHLIFE,0.0,0.832,0.168,0.297,56.43,Mahindra Lifespace Developers Limited,XC - RLES,XC - REM
235,MANAPPURAM,0.0,1.0,0.0,0.0,100.13,Manappuram Finance Limited,XC - FNCL,XC - NFC
236,MARICO,0.0,1.0,0.0,0.0,650.91,Marico Limited,XC - COST,XC - HPP
237,MARUTI,0.0,0.928,0.072,0.107,2627.73,Maruti Suzuki India Limited,XC - CODI,XC - ATO
238,MASTEK,0.0,0.912,0.088,0.115,49.31,Mastek Limited,XC - INTH,XC - ITS
239,MAXHEALTH,0.0,1.0,0.0,0.0,421.88,Max Healthcare Institute Limited,XC - HECA,XC - HCS
240,MCDOWELL-N,0.047,0.568,0.386,0.484,593.45,United Spirits Limited,XC - COST,XC - FOP
241,MCX,0.0,1.0,0.0,0.0,79.79,Multi Commodity Exchange of India Limited,XC - FNCL,XC - NFC
242,METROBRAND,0.0,0.973,0.027,0.049,220.15,Metro Brands Limited,XC - CODI,XC - RTL
243,MFSL,0.122,0.878,0.0,-0.3,294.31,Max Financial Services Limited,XC - FNCL,XC - NFC
